,time,application,angry,disgust,fear,happy,sad,surprise
871,2022_07_24_17_59_52,Stocks,0.08,0.0,0.12,0.35,0.44,0.0
872,2022_07_24_17_59_53,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
873,2022_07_24_17_59_53,Stocks,0.01,0.0,0.0,0.95,0.04,0.0
874,2022_07_24_17_59_54,Stocks,0.0,0.0,0.0,0.98,0.02,0.0
875,2022_07_24_17_59_54,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
876,2022_07_24_17_59_54,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
877,2022_07_24_17_59_55,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
878,2022_07_24_17_59_56,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
879,2022_07_24_17_59_56,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
880,2022_07_24_17_59_56,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
881,2022_07_24_17_59_57,Stocks,0.0,0.0,0.0,0.99,0.01,0.0
882,2022_07_24_17_59_57,Stocks,0.02,0.0,0.0,0.98,0.0,0.0
883,2022_07_24_17_59_57,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
884,2022_07_24_17_59_58,Stocks,0.0,0.0,0.0,0.98,0.0,0.02
885,2022_07_24_17_59_58,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
886,2022_07_24_17_59_58,Stocks,0.0,0.0,0.0,0.99,0.0,0.01
887,2022_07_24_17_59_59,Stocks,0.02,0.0,0.0,0.93,0.02,0.03
888,2022_07_24_17_59_59,Stocks,0.0,0.0,0.0,1.0,0.0,0.0
889,2022_07_24_17_59_59,Stocks,0.01,0.0,0.0,0.99,0.0,0.0
890,2022_07_24_18_00_00,Stocks,0.0,0.0,0.0,0.98,0.0,0.02
891,2022_07_24_18_00_00,Stocks,0.0,0.0,0.0,0.99,0.0,0.01
892,2022_07_24_18_00_00,Stocks,0.1,0.0,0.16,0.38,0.34,0.02
893,2022_07_24_18_00_01,Stocks,0.01,0.0,0.03,0.78,0.16,0.01
894,2022_07_24_18_00_01,Stocks,0.01,0.0,0.0,0.96,0.0,0.03
895,2022_07_24_18_00_01,Stocks,0.0,0.0,0.0,0.98,0.0,0.02
896,2022_07_24_18_00_02,Stocks,0.05,0.01,0.01,0.81,0.03,0.09
897,2022_07_24_18_00_05,Stocks,0.21,0.0,0.23,0.16,0.36,0.05
898,2022_07_24_18_00_06,Stocks,0.26,0.01,0.22,0.06,0.4,0.05
899,2022_07_24_18_00_06,Stocks,0.18,0.0,0.17,0.43,0.14,0.07
900,2022_07_24_18_00_07,Stocks,0.23,0.0,0.14,0.44,0.17,0.02
901,2022_07_24_18_00_08,Stocks,0.16,0.0,0.2,0.03,0.59,0.01
902,2022_07_24_18_00_09,Stocks,0.34,0.0,0.18,0.04,0.38,0.05
